name,skin_type,date,date_original,comment
Astridsari_,"Dry, Medium, Neutral",2025-08-31,31 Aug 2025,"Baru seminggu pakai, bener-bener kerasa bedanya! Teksturnya ringan, mudah menyerap, tapi tetap bikin kulit lembap seharian. Kulitku yang biasanya suka merah & gampang iritasi jadi lebih calm. Bonusnya, nggak bikin lengket sama sekali. Cocok banget buat yang lagi struggle sama skin barrier rusak 🫶🏻 💙 Moisturizer penyelamat kulit bad mood"
Silmi16,"Normal, Medium, Warm",2025-08-31,31 Aug 2025,"Moisturizer yg versatile. Bs digabung dengan berbagai active ingredients serum. Bg orang yg suka explore active ingredients serum, klau pake ini gk akan pusing akan ""contra"" dgn active ingredients. jdi base make up pun juga bgs banget."
cndyalv,"Combination, Light, Cool",2025-08-22,22 Aug 2025,"Aku pake waktu lagi hamil, waw.. kulitku bersih dan gprnh jerawatan lagi.. di aku cocok banget karena ngerasa better drpd sebelum pake. Re purchase kyk nya ga. Karena skrg wjhku uda mulai muncul flek 🫠"
IgnatiaArby,"Combination, Medium, Neutral",2025-08-22,22 Aug 2025,"pelembab yang oke. oke saja. gak punya nilai buruk. apa karena ekspektasi dari review lain dan iklan yang tinggi, jadi ketika pakai moisturizer ini seperti sama dengan moisturizer lainnya saja. teksturnya ringan dan berwarna putih, tapi ketika dipakai tidak berasa tebal di wajah. untuk efek menenangkan tidak terlalu terasa di wajah karena setelah pakai ku menemukan efek yang serupa di moisturizer sebelah dengan harga 50% lebih murah. selain itu ku tidak menemukan efek yang signifikan, tetapi progressnya memang ada. untuk digunakan sebagai base makeup tidak terlalu nge-set seperti yang varian panthenol. overall lebih unggul varian panthenol setelah penggunaan kurang lebih 3 bulan. tapi tidak ada yang buruk juga, produknya bagus. tapi antara value offer dengan harga yang diberikan, akan ada produk lain yang bisa kasih function serupa dengan harga yang lebih affordable"
fazirotulfirdaus,"Combination, Medium Dark, Neutral",2025-08-12,12 Aug 2025,"Penasaran sama moist ini karena hype-nya gede & viral banget, akhirnya bisa coba dan yaaa.... bagus sih, tapi kupikir hype-nya over wkwkw. Aku pun cuma habisin 1 jar dan gak minat repurchase lagi karena yauda bikin lembap aja, gak ada efek lain. Cocok sih buat yang skin barrier-nya lagi ngaco."
Stephaniegabriella,"Combination, Medium Dark, Warm",2025-08-04,04 Aug 2025,"dari sekian moisturizer... cuma ini yang paling setia ada dikamarku hihihi. apa ya, kayak dia sebenernya kurang moist dikulitku yg super duper kering ini, tapi ya ga sekering itu juga hasil akhir kulitku. terus dia juga bisa ilangin gatel gatel dimukaku dan bikin calm kemerahan"
lailicahya,"Combination, Dark, Neutral",2025-08-03,03 Aug 2025,"bagus bangeeet, suka, cocok sama kulitku yang sensitive, bagus banget, murah meriah, lembab di kulit mantul rekomended buat temen-temen semua soalnya bagus banget suka, semoga cocok terus, soalnya harganya murah, cocok juga sama harganya"
Yulina_Ss,"Combination, Medium, Neutral",2025-08-02,02 Aug 2025,"Aku coba beli yang mini buat tester, karena suka takut salah pilih moisturizer. Tapi ini surprisingly bagus! Nggak bikin greasy, nyaman dipakai malam hari. Bangun tidur kulit lebih “tenang” dan nggak sekering biasanya. Fix pengen repurchase 🫶🏻"
Alma_rain5,"Combination, Medium, Cool",2025-08-01,01 Aug 2025,jadi produk ini sangat bagus sejak awal pemakaian awal moisturaizer ini melembabkan dan teksturnya juga tidak berat kemasanya juga bagus sangat sangat ngaruh dikulit wajah saya makanya saya udah beli beberapa kali sangat bagus produknya
Rieska_novianty,"Oily, Medium Light, Neutral",2025-07-31,31 Jul 2025,"Skintific 5X Ceramide Barrier Repair Moisture Gel diperkaya dengan teknologi 5X Ceramide, yang merupakan gabungan 5 jenis Ceramide, yang berfungsi untuk melembabkan secara mendalam dan memperkuat lapisan kulit. Cocok digunakan di pagi dan malam hari."
Indahhwahyunii,"Combination, Light, Neutral",2025-07-28,28 Jul 2025,"Di aku buat berjerawat:( kalo soal ngelembapin nya oke, tapi di aku buat jerawat on off. Trus jerawatnya gede2 gitu:( sedihh. Padahal mayan banyak yang cocok pakek ini. Tapi ntah kenapa di aku enggak cocok. Aku lebih cocok pakek yang pink malahan"
vaniastephanieee,"Normal, Light, Warm",2025-07-28,28 Jul 2025,"ini moisturizer kesayangan, pake ini sudah habis 5 jar lebih, dan masi bakal jd my go to moisturizer apalagi kalo kulitku lagi marah, ini bs banget nenangin dan benerin skin barier, bs dipake untuk semua jenis kulit juga, aman bangetttt ga buat iritasi"
birlliantari,"Oily, Medium, Warm",2025-07-26,26 Jul 2025,Moisturizer yg paling cocok di muka aku yg oily dan acne prone skin. Teksturnya ringan bgt dan cepet menyerap. Sangat membantu kalau lagi buru buru haha. So far ini moisturizer yg aku re purchase terus sampe sekaranggg💚
schaawalia,"Oily, Medium Light, Warm",2025-07-26,26 Jul 2025,"Bagusss banget jujuurrr. Pertama kali pake ini pas pandemi karna skin barrier lumayan rusak, jerawatan parah, belom lagi pake masker dsb. Product ini sesuai claim nya sih. Aku bertahun2 jadi acne fighter, product ini lumayan membantu memperbaiki muka aku. Malah kadang aku suka pake ini di bekas luka lain jadi lembut banget😂🫶🏼"
ilmanastiti,"Normal, Medium Light, Neutral",2025-07-26,26 Jul 2025,"Ok bgt bikin halus di kulit adem wangi juga enak wajib digunakan setiap hari karena produk ini sangat membantu untuk menutri kulit membuat kulit jadi lebih lembab dan seger waktu pagi, bisa digunakan rutin setiap hari malam sebelum tidur ya"
nataliaudrey,"Combination, Light, Neutral",2025-07-25,25 Jul 2025,"Favorit moisturizer! Udh bertahun-tahun pake ini cocok poll. Habis berbotol2. Kulit jadi sehat. Sembuhin barrier yang rusak. Harga juga terjangkau, cocok buat kaum mendang mending. Pake gabung sama serum nya juga baguss, jadi duo combo maut"
Fuzhy_LN,"Oily, Medium Dark, Neutral",2025-07-24,24 Jul 2025,Tekstur moistnya lembut&ringan terus gampang meresap ke kulit. Dia sesuai claimnya perbaikin skinbarier terus meredahkan kemerahan. Best produk aku udah pakai 2thn alhamdulillah cocok rekom bangeet buat yang kulit barier gk baik2 ajaa. Lopeee this produk
jsmnalv,"Combination, Medium Light, Cool",2025-07-24,24 Jul 2025,"moistt andalann para wanitaa nihhhh, tiap nanya temen-temen pake skincare apa pasti jawabnya moist skintif yang inii. cocok bgtt di smua jenis kulitt khususnya oilyy kea aku inii gabikin muka kek kilang minyak after pemakaiannya. cepet meresapp goodd"
Yuniks,"Dry, Medium Light, Neutral",2025-07-20,20 Jul 2025,"Kalo bingung mau pake moist apa, which is bisa dipake AM dan PM.. pasti beli si biru ini.. moisturizer yg bs digabungin kalo pake exfo atau retinol, bikin skin barrier lbh terjaga n kulit lebih plumy😘must have pokoknya !!!!🥰"
wulankusuma757,"Oily, Medium Dark, Neutral",2025-07-19,19 Jul 2025,"Melembabkan nya dapet sih. Tapi kalau beli lagi, aku bakal pikir-pikir lagi soalnya harganya yang pricey ketimbang moist brand lain dengan harga yang lebih terjangkau. Soalnya moist ini cuma lembab aja, itupun paling beberapa jam. Selain melembabkan, aku tidak mendapatkan benefit lain dari moist ini."
nabilasalma03,"Normal, Light, Neutral",2025-07-09,09 Jul 2025,"Skintific 5X ceramide barrier moisture gel ini memiliki tekstur yang sangat lembut dan ringan, produk ini tidak lengket dan cepat meresap di kulit, cocok untuk berbagai jenis kulit termasuk kulit berjerawat, dapat membantu memperbaiki skin barrier dan membuat kulit lebih sehat, aroma nya harum dan tahan lama."
izzahmyy,"Normal, Medium, Neutral",2025-07-09,09 Jul 2025,"Moisturizer dengan tekstur gel, ringan dipakai, dan mudah menyerap. Buat meredakan masalah kulit kemerahan, kulit kering, kulit bertekstur. Hasil setelah dipakai di wajah (tipe kulit berminyak & pori besar), kulit lebih lembab, terasa seperti kulit lebih sehat."
Leonyfs98,"Combination, Medium, Neutral",2025-07-05,05 Jul 2025,"Produknya sangattttttt bagusss bgt dan kebetulan banget kulit aku normal jdi sangat aku rekomendasi buat beli produk ini, dan produk ini bisa beli di e-commerce, offline ataupun online dan harganya murah bgt Pokoknya sangat rekomendasi sekali produknya"
larasatiekaw,"Oily, Medium Light, Neutral",2025-07-03,03 Jul 2025,"Ideal untuk pemilik kulit berminyak, kombinasi, sensitif, atau yang ingin memperbaiki skin barrier. Kalau kamu mencari pelembap yang ringan tapi tetap efektif untuk menjaga kelembapan dan menenangkan kulit, produk ini layak dicoba. Produk ini punya formula yang bagus dan seimbang, cocok dipakai harian dan bisa jadi andalan untuk bantu memperbaiki kondisi kulit tanpa bikin berat atau greasy."
yuninurhayatii_,"Oily, Medium Light, Neutral",2025-07-03,03 Jul 2025,"Solusi disaat wajah lagi breakout✨🫶🏻 moist ini bener-bener bikin kulit tenang, ga ngamuk lagii dan gatau kenapa di aku juga bikin wajah lebih cerahh pokoknya love bangettt deh beneran penyelamat disaat wajah lagi ga baik-baik ajaaaaa🫶🏻✨🫶🏻✨"
fazilaaliya,"Oily, Light, Neutral",2025-07-03,03 Jul 2025,"Moisturizer Skintific sangat efektif melembabkan kulit wajah saya, membuat kulit terasa lembut dan lembab sepanjang hari. Dengan formula yang ringan dan tidak berminyak, moisturizer ini cocok untuk semua jenis kulit, termasuk kulit berminyak dan kombinasi. Kandungan bahan aktifnya membantu menjaga kelembaban kulit dan mengurangi tanda-tanda penuaan. Saya sangat puas dengan hasilnya, kulit wajah saya terasa lebih sehat dan bercahaya. Dengan harga yang kompetitif, Moisturizer Skintific menjadi pilihan yang sangat baik untuk mereka yang ingin memiliki kulit wajah yang lembab dan sehat. Saya sangat merekomendasikan produk ini untuk Anda yang mencari moisturizer yang efektif dan ramah di kulit."
mrtnus,"Oily, Dark, Neutral",2025-07-03,03 Jul 2025,"Ini sih moisturizer kecintaan aku. Udah pake ini dari taun 2022 pas awal2 muncul dan emang sengefek itu di mukaku. Ga bikin jerawatan, bruntusan, merah2. Malah ngelembabin dan ngelock skincare aku sebelomnya. Buat kalian yg lagi cari moist yg melembabkan aja ini solusinya"
Mutuaralutf_,"Combination, Light, Cool",2025-07-03,03 Jul 2025,"Moisturizer ini menurutku juara banget buat sehari-hari. Teksturnya ringan, agak watery, gampang dibaurin ke kulit, terus cepet banget nyerapnya. Pas pertama kali diaplikasiin tuh ada sensasi adem yang bikin kulit rasanya langsung segar. Setelah beberapa menit, kulit kerasa lebih plumpy, lembap, tapi sama sekali nggak lengket atau greasy."
nandadenia,"Combination, Medium Light, Neutral",2025-07-02,02 Jul 2025,"Aku cocok banget pake product ini, udh hampir 3 tahun pake product ini gapernah ganti ke product lain. So far ini mosturizer dengan ceramide terbaik sih, benar benar bisa memperbaiki skin barrier. Terus juga cepat meresap dan ga lengket. Cinta bgt sama Skintific🫶🏻"
husniyaputri,"Combination, Medium, Neutral",2025-07-02,02 Jul 2025,"Salah satu moisturizer favorit aku juga. Aku suka sama teksturnya yg mudah meresap dan ringan. Kalo muka aku lagi ngamuk seperti skinbarrier aku sedang tidak baik” saja coba pakai ini, ga cuman bikin melembabkan tapi bisa menutrisi kulit juga"
Sulisrahmadani,"Normal, Medium, Neutral",2025-07-02,02 Jul 2025,"Moisturizernya emang bagus tapi cepat abis, teksturnya cepat meresap di kulit, kebetulan kulit aku kan kering jadi harus pake mousturizer dan sangat amat recommended untuk pakai ini, tidak akan kecewa karena aku udah pake dari tahun lalu juga"
TriliaKartika97,"Dry, Medium, Neutral",2025-06-30,30 Jun 2025,"Beli yang travel size karena penasaran sama produk ini. Produk ini hype banget di social media. Setelah coba emang worth the hype sih. Teksturnya ringan, cepet banget nyerep di kulit, gak bikin greasy atau lengket. Setelah pakai emang kulit jadi lebih lembab. Karena ada kandungan 5x Ceramide jadi bagus untuk memperbaiki skin barrier."
Adelia_Juli,"Oily, Medium Light, Neutral",2025-06-29,29 Jun 2025,"Teksturnya gel bening yang ringan banget, begitu dioles ke wajah langsung cepat meresap sempurna tanpa perlu waktu lama. Nggak ada drama greasy atau lengket sama sekali setelahnya, kulit langsung terasa nyaman dan segar. Rasanya ringan banget di kulit, bahkan saat cuaca lagi panas sekalipun. Hasilnya, kulit jadi terasa lembap, halus, dan plump, siap untuk tahapan skincare selanjutnya atau makeup."
arsyilasyi,"Combination, Light, Cool",2025-06-27,27 Jun 2025,"Aku pakai ini udah lumayan lama,dan ini jd salah 1 moist favorite aku,krn teksturnya yang cepat meresap bikin kulit kenyal dan ngejaga skinbarrier aku,untuk dijadiin base prime sebelum makeup jg ini bagus banget kulitku tetep stay hydrat tp ga berminyak"
aidillah0614,"Oily, Medium Light, Neutral",2025-06-21,21 Jun 2025,"sangat bisa memperbaiki skin barier hanya dalam 2 minggu pemakaian, dan bisa mencegah timbulnya jerawat juga, tapi untuk yang oily skin tidak ada oil control, dipakai jadi skinprep sangat bagus hasilnya untuk di makeup"
ameldmusic,"Combination, Light, Neutral",2025-06-18,18 Jun 2025,"Kalau ditanya rekomen atau gak, 5X Ceramide by Skintific lumayan di gw. Bahkan kalo disuruh repurchase, selama masih oke budget, mau banget. Jadi gw pake ini HANYA pas kalo abis exfoliasi aja, gapernah gw pake daily. Dan memang se berpengaruh itu untuk kemerahan dan pas ada jerawat luka/radang. Ini rekomen, walau agak pricy."
trevorishy,"Oily, Light, Warm",2025-06-18,18 Jun 2025,"Ini bikin breakout, padahal teksturnya enak, wanginya juga ngga ganggu banget. Ringan, trus ngga bikin kulit jadi makin berminyak di kulit aku yg oily acneprone, tapi sayangnya dia lama2 bikin pori2 jadi kesumbat, jadi banyak whitehead dan jerawat muncul."
dyana_subuh,"Dry, Medium, Warm",2025-06-18,18 Jun 2025,"Teksturnya sedikit watery , tpi overall aku suka , moist ini adalah andalanku saat habis cuci muka , saat bruntusan yaa meski hanya sedikit menenangkan tapi cukup untuk kebutuhuan kulit wajahku yg kadang kering dan kadang berminyak ini , setelah habis 2 pot aku putuskan beli yg size besar"
desiapynd,"Combination, Medium Light, Neutral",2025-06-11,11 Jun 2025,"This is one of my favorite moisturizers. I’d say it’s my number one so far! With my oily and acne-prone skin type, the formula works really well to repair my skin barrier. My skin feels brighter, more hydrated, and my acne scars have faded."
salmameidina,"Oily, Medium Light, Neutral",2025-06-06,06 Jun 2025,"Mencoba produk viral yang berujung tidak cocok. Tipe pelembab yang bikin kulit aku jadi sumuk dan langsung timbul jerawat, di beberapa spot wajah juga jadi nimbulin redness dan gatel. Mencoba untuk stop dan mencoba lagi (dengan harapan cocok) tapi ternyata tetap timbul jerawat baru"
Hallo_Putrijunudillah,"Combination, Medium Light, Neutral",2025-06-04,04 Jun 2025,"aku suka wanginya enak banget nyaman banget diidung texturnya jujur suka tapi brutusan dikit diaku mungkin karena terlalu lembab dimuka aku deh makanya muncul brutusan kecil makanya aku abisin satu jar gede dan aku ga beli lagi,aku coba brand lain"
noviakrsmd_,"Combination, Medium Light, Neutral",2025-06-02,02 Jun 2025,"Moist yang paling gong di muka aku. Dipake kurleb 2 mingguan udah keliatan hasilnya, bikin lembab di muka aku dan ga bikin make up longsor. Buat yg mau benerin skin barrier moist ini cocok bangettt🤍👍🏻"
suciayu9,"Combination, Medium, Neutral",2025-06-01,01 Jun 2025,"salah satu produk moisturazer yang aman banget di kulit combantion kaya akuu, teksturnya mudah menyerap dingin menenangkan kulit yang lagi breakout pokonya kalo kulit lagi gabaik baik aja pasti langsung baik baik ajja😘🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻"
meifakhalishaa,"Combination, Medium Dark, Cool",2025-06-01,01 Jun 2025,Moist ini cocok untuk kulit sensitif dan berminyak yang membutuhkan perbaikan skin barrier. So far selama inii bikin kulit lembab dan tidak kering. Cuman jika ingin tambah lembab bisa menggunakan tambahan moisturizer lain yaaa gaissss
IntanDliya,"Dry, Medium Light, Cool",2025-06-01,01 Jun 2025,"Solusi untuk semua masalah skin barrier seperti jerawat, kulit kering, kulit kemerahan, dan kulit bertekstur. Diformulasikan dengan 5 jenis Ceramide (5X Ceramide) yaitu CERAMIDE NP, CERAMIDE EOP, CERAMIDE AP, CERAMIDE AS, CERAMIDE NS yang bekerja sangat baik dikombinasikan untuk memperbaiki dan menjaga skin barrier alami kulit. Ceramide dapat membantu memperbaiki skin barrier, melembabkan kulit, menenangkan sel kulit yang terganggu, mengurangi kemerahan, dan melembutkan tekstur kulit. Pelembap ini dilengkapi dengan bahan-bahan seperti Hyaluronic Acid, Centella Asiatica, dan Marine Collagen untuk menghidrasi lapisan kulit terdalam, mencegah pelunakan tekstur kulit, dan mencegah penuaan dini. Memiliki tekstur seperti gel yang ringan di kulit, mengandung banyak air sehingga aman untuk kulit sensitif. Pelembap ini dapat digunakan untuk semua jenis kulit termasuk kulit berminyak karena mampu mengontrol minyak selama 24 jam. Tidak memiliki efek lengket, dan memiliki efek pendinginan yang memuaskan yang menghidrasi kulit"
ghaitsanr,"Combination, Medium Light, Cool",2025-06-01,01 Jun 2025,"merek skincare yang fokus pada inovasi dan teknologi dalam pengembangan produk perawatan kulit. Mereka percaya bahwa skin barrier adalah hal terpenting yang harus dijaga untuk mengatasi masalah kulit seperti jerawat, kemerahan, kulit sensitif, dan kusam. Skintific menawarkan berbagai produk untuk berbagai jenis kulit, termasuk produk yang mengandung bahan aktif seperti hyaluronic acid, niacinamide, dan vitamin C"
fidelafaisa,"Combination, Medium, Neutral",2025-06-01,01 Jun 2025,ini bisa banget cocok buat semua jenis kulit yg skin bariernya rusak dan sangat cocok bisa ngelembapin kulit aku yg kombi to oily untuk produknya dan jga gampang nyerep dan teksturnya ga yg cair banget pokoknya bagus banget ini sangat worth it to buy
xinyu,"Oily, Medium Light, Cool",2025-06-01,01 Jun 2025,"Produk dari skintific emang gaperna ada yang jelek, aku baru pake kek semingguan itu muka ak langsung kerasa lebih halus dan fresh. Teksturnya lembut dan dia ringan banget, pas dipake bikin adem pokonya bagus bangettt deh, bisa bikin bruntusan juga ilang."
restusw,"Oily, Medium, Neutral",2025-06-01,01 Jun 2025,"Moisturizer skintific adalah pilihan yang baik untuk mereka yang mencari moisturizer yang ringan dan tidak berminyak. Dengan kandungan hyaluronic acid, moisturizer ini dapat membantu menjaga kelembaban kulit dan membuatnya terlihat lebih cerah. Namun, mungkin tidak cocok untuk kulit yang sangat kering. Secara keseluruhan, moisturizer Hada Labo adalah produk yang bagus untuk melembabkan dan menjaga kesehatan kulit wajah."
wansalsa,"Oily, Light, Cool",2025-06-01,01 Jun 2025,"Ini moisturizer penyelamat wajahku saat jadiacne fighter dan breakout, karena udah nyoba pake beberapa moisturizer tapi hasilnya nihil, cuma moisturizer ini yang bener-bener ampuh di wajahku bikin skin barrier balik lagi seperti semula."
fhebiiny,"Dry, Medium Light, Cool",2025-06-01,01 Jun 2025,"Baru pertama kali cobain moisturizer dari Skintific ini dan langsung jatuh cinta! 💙 Teksturnya super ringan, cepat meresap, tapi tetap ngasih kelembapan yang tahan lama banget. Yang paling aku suka, dia pakai 5 jenis ceramide yang bantu banget buat perbaiki skin barrier aku yang sempat rewel akhir-akhir ini 😭✨ Setelah pemakaian rutin, kulit jadi terasa lebih sehat, lembut, dan nggak gampang iritasi. Cocok banget buat yang punya kulit sensitif atau lagi struggle sama kemerahan. Plus, nggak bikin lengket sama sekali! Pokoknya, moisturizer ini bener-bener jadi game changer di skincare routine aku. Worth to try! 💖"
alinizaqirakumiko_,"Combination, Medium Dark, Neutral",2025-05-31,31 May 2025,"Bener bener my safe moisturizer deh definisi nya ini mah, mau coba produk moisturizer lain itu kadang ga cocok dan tetap balik ke dia untuk netralinnya lagi. Dari semua segi yah emang cocok untuk kulit sensitive, acne prone aku ini dan berminyak sedikit"
nazmasvr,"Dry, Light, Cool",2025-05-31,31 May 2025,"Skincare terbagus yang aku pakai apalagi untuk tipe kulit aku yang kering, sangat melembabkan dan membantu mengatasi kulit kering aku, ini juga membantu memudarkan bekas jerawat aku, selalu repurchase setelah merasa produk ini cocok best❤️"
nellyselvaa,"Normal, Medium Light, Neutral",2025-05-31,31 May 2025,"Awalnya teracuni sama temen pake ini, karena permasalahan kulitku sama yaitu kering pas pake moist ini beneran bikin kulitku ada perubahan ga terlalu kering dan pake make up jd nempel ga kering sama sekali, selalu pake tiap malem hari sebelum tidur"
smileythidna,"Combination, Medium Light, Cool",2025-05-31,31 May 2025,"This moisturizer is so smooth and lightweight! It sinks into the skin fast and doesn’t feel greasy at all. Super hydrating and gives that healthy glow. Great for all skin types, even sensitive ones. My skin loves it fr 💗 Rating: 9/10 🌟"
Nurkarnila_,"Oily, Medium Light, Cool",2025-05-31,31 May 2025,"Saya pakai produk ini sudah 1 tahun,dan sudah membuat kulit saya menjadi lembab menghilangkan bekasa jerawat dan bruntusan, harga nya juga sangat murah untuk saya,mudah ditemukan di offlinestore dan onlinestore,sangat cocok di kulit saya"
yhusaironim,"Combination, Medium Light, Cool",2025-05-31,31 May 2025,"produknya bikin skin barier ku jadi lebih halussss dan lembuttt. textrutenya juga mudaah meresappp di kulit. cocok buat pemakaian malam sebelum tidur, paginya wajah ngerasa lebih lembab kencang dan berrrrcahayaaa.. harganya lumayan aja sih"
diias_lintang,"Oily, Medium Light, Neutral",2025-05-31,31 May 2025,"moisturizer skintific yang warna biru ini bener-bener sangat-sangat cocok untuk kulit sensitif. dapat melembabkan wajah yang kering, dan dapat memperbaiki skin barrier yang rusak. buat kalian yang sedang bermasalah dengan skin barrier yang rusak wajibb bangett untuk cobain moisturizer yang satu inii"
liaulrz,"Combination, Light, Neutral",2025-05-31,31 May 2025,"Aaaaaakkkkkk suka banget sama moist ini!! Karena penyelamat muka aku kalau lagi bermasalah , teksturnya ringan , super melembabkan dan ga bikin masalah di wajah, pokoknya aku selalu rekomendasi Ini ke temen aku, wajib kalian beli yaaaaa"
shnvndr,"Dry, Medium Light, Neutral",2025-05-31,31 May 2025,"Lumayan ampuh buat muka aku yang supperrr kering. Dibandingkan dengan versi pink nya / yang niacinamide, ini lebih baguss dan lebih berasaa moisturenya. Tapi lebih cocok untuk dipake sebagai moisturizer pagi sebelum pakai makeup. Kalau untuk malam hari dirasa kurang melembapkan"
alyaree,"Combination, Medium Dark, Warm",2025-05-31,31 May 2025,"Buat kulit comby to. oily moisturizer ini bisa ngeredain kemerahan aku, ngebenerin skin barrier aku, teksturnya watery jadi lebih cepet nyerep banget dan ingredientsnya ngebantu buat mempercepat buat memperbaiki skin barrier di kulit"
eunjyo_o,"Combination, Light, Cool",2025-05-31,31 May 2025,"Sangat melembapkan tapi memang agak greasy buat aku, tapi overall suka aja sama productnya. Recommended buat yang mukanya gak terlalu oily kaya aku. Super menghidrasi kulit kamu, jadi tetap recommended buat jadi moisturizer untuk benerin skin barrier 👍🏻👍🏻"
mutiarasalsa,"Combination, Medium, Neutral",2025-05-31,31 May 2025,"Jalan satunya biar balik lagi dri kulit yang ngamuk parah breakout, jerawat udh aman bngt pake ini cuma moisturizer doang udh cukup, cukup lembab buat yang kulitnya kering tekstur nya gel watery warna susu gitu ga lengket wajib coba walaupun agak malah tapi worth to buy sih"
Gracyaa,"Combination, Medium Light, Neutral",2025-05-31,31 May 2025,"Mositurizernya sumper duper light karena teksturnya gel dan dia tuh tipikal yg cocok di kulit berminyak karena ga bukin muka tambah becek/sumuk so i recommended this product! Must try guys! Aku pake produk ini pagi dan malem btw, dan tadi aku udh buang emptiesnya ke BXB xixiixi semoga bisa di recyle dengan baik"
AthThariq,"Dry, Medium Light, Neutral",2025-05-31,31 May 2025,"moisturizer yang ringan banget di kulit apa lagi untuk kulit kering dan sensitif, pas pemakaian langsung cair jadi fa berasa berat sama sekali apa lagi untuk yang kulitnya sensitif dan rasanya setelah pemakaian kulit berasa lebug calm dan mengurangi kemerahan"
Talitha_10,"Normal, Medium Light, Cool",2025-05-30,30 May 2025,"Sebenernya sih aku tuh pakai moist ini karma minta ke ibu. Awalnya aku rekomendasiin moist itu ke ibu eh gataunya beneran dibeli dan dipake selama sebulan cocok bgt di muka ibu bikin lembab. Lalu aku coba deh dan ternyata beneran enakeun bgt, pakenya pagi dan malem sebelum tidur. Moistnya cepet meresap ga cepel di kulit."
